ID,label,genes,number_in_list,number_in_reference,fold_enrichment,expected,pvalue,fdr,level,group,top_group
GO:0035051,cardiocyte differentiation,PDGFRA;TGFB2;MYOCD;MEF2C;NOTCH1;JAG1;ANXA2;CBY1;FHL2;RBPJ;SOX10;TBX3;TBX2;SOX17;HAND2;NRAP;RARB;ALPK3;MYH11;SOX6;BVES;MYH10;ATG5,23,80,2.3253868912152935,9.89082723691615,0.000773072746048939,0.0385284996277268,0,circulatory system development,circulatory system development
GO:0007507,heart development,LOC427439;TRAF3IP1;IFT172;IHH;CBY1;FHL2;SIX1;RBPJ;PCSK5;CYR61;CDH5;COL4A3BP;EDNRA;SOX17;TBC1D32;RB1CC1;ARID2;SOX6;BVES;CZH5ORF42;ADAMTS6;DYNC2H1;PDGFRA;MYOCD;MEF2C;ANXA2;OSR1;TPM1;GNOT1;NPY1R;SOX10;RUNX2;OLFM1;ALDH1A2;HAND2;APLNR;RARB;ALPK3;DSG2;ZFPM2;FREM2;CCDC40;POPDC2;POPDC3;RAMP2;CALCRL;NOTCH1;PRKDC;CCM2L;PRICKLE1;PTN;DLL1;LTBP1;ZFP36L1;GJC1;PDLIM1;DLL4;IFT74;CCNB2;PDLIM3;TMEM65;T;TBX20;NRAP;S1PR1;SLIT3;MYH11;MYH10;ATG5;TGFB2;JAG1;FOXF1;NTRK3;TBX3;BMP5;TBX2;APLN;HEYL;COL5A1;NEDD4;TRIP11;ATM,86,383,1.816172302368171,47.35233539673607,2.050650936787448e-06,0.00025596188044315396,1,circulatory system development,circulatory system development
GO:0072359,circulatory system development,LOC427439;TRAF3IP1;IFT172;IHH;RBPJ;FGF2;ANTXR1;ELK3;CTGF;CDH5;COL4A3BP;EDNRA;BMPER;SOX17;TBC1D32;GJA4;HOXA3;LEPR;ARID2;SOX6;HOXA7;BVES;DYNC2H1;PDGFRA;MEF2C;OSR1;TPM1;NPY1R;SOX10;RUNX2;OLFM1;COL4A1;APLNR;HOXB3;ALPK3;ZFPM2;FREM2;CALCRL;NOTCH1;PRKDC;LTBP1;FOXO1;ZFP36L1;GJC1;CCNB2;T;MYH11;MYH10;ATG5;NGFR;TGFB2;JAG1;FOXF1;NR2F2;PTK2;BMP5;COL5A1;ATM;HPSE;AMOTL1;FGFR1;FLT4;CBY1;FHL2;SIX1;TCF21;PIK3CB;TSPAN12;PCSK5;CYR61;RB1CC1;RSPO3;CZH5ORF42;ADAMTS6;MYOCD;ANXA2;GNOT1;ACTA2;NOV;TAL1;ALDH1A2;HAND2;PECAM1;RARB;CDH13;DSG2;CCDC40;POPDC2;POPDC3;RAMP2;COL15A1;LAMA1;LAMA4;NRXN1;LEF1;CCM2L;NDNF;SEMA3E;PRICKLE1;PTN;DLL1;PDLIM1;DLL4;IFT74;PDLIM3;GBX2;TMEM65;TMEM204;TBX20;NRAP;S1PR1;SLIT3;SLIT2;E2F7;PRRX1;NTRK3;TIE1;VEGFC;TBX3;TBX2;APLN;HEYL;MEIS1;NEDD4;TRIP11;RECK,130,591,1.7791527748575775,73.06848621271807,9.656603852530829e-09,2.9085270951481443e-06,2,circulatory system development,circulatory system development
GO:0044772,mitotic cell cycle phase transition,CCNJ;USH1C;BUB1B;FOXM1;EPS8;CCNB3;CCNB2;FBXL21;E2F1;RBBP8;E2F3;LZTS1;POLE;E2F7;UBE2C;PLK2;CDC25A;CCNA2;CCNA1;CCNE2;CCNE1;CDK2;CDK1;CKS2;ID4;SPDYA;TACC3;CDK14;FBXL7,31,108,2.321642306849407,13.352616769836805,0.00010672152531631833,0.007393133666287952,0,cell cycle phase transition,cell cycle phase transition
GO:0044770,cell cycle phase transition,CCNJ;USH1C;BUB1B;FOXM1;EPS8;CCNB3;CCNB2;FBXL21;E2F1;RBBP8;E2F3;LZTS1;POLE;E2F7;UBE2C;PLK2;CDC7;CDC25A;CCNA2;CCNA1;PTPRC;CCNE2;CCNE1;CDK2;CDK1;CKS2;ID4;SPDYA;TACC3;CDK14;FBXL7,33,116,2.3009825310376217,14.34169949352842,9.745841133656778e-05,0.0069245450721443415,1,cell cycle phase transition,cell cycle phase transition
GO:0031570,DNA integrity checkpoint,TOP2A;CDT1;PRKDC;EIF2AK4;BRCA1;USP28;TICRR;ORC1;RFWD3;FAM175A;CHEK1;CDK1;E2F1;CASP2;RAD17;ATM;DNA2;ERCC6;CLSPN;NBN;DTL;RHNO1,24,84,2.310943494375447,10.385368598761957,0.0009174464519730634,0.04491597382362825,0,cell cycle checkpoint,cell cycle checkpoint
GO:0000075,cell cycle checkpoint,TOP2A;PRKDC;BUB1B;TTK;BRCA1;ORC1;CHEK1;E2F1;CASP2;CLSPN;NBN;SPDL1;BUB1;CDT1;PLK2;MAD2L1BP;EIF2AK4;USP28;TICRR;WEE1;WEE2;RFWD3;FAM175A;CDK1;RAD17;ATM;DNA2;ERCC6;TRIP13;DTL;MAD1L1;RHNO1,35,121,2.3395915542230767,14.959876195835678,4.605117525830477e-05,0.003753170783551839,1,cell cycle checkpoint,cell cycle checkpoint
GO:0048863,stem cell differentiation,RET;NOTCH1;SEMA3G;SEMA3E;RBPJ;FGF2;EDNRA;SOX17;GBX2;FAM172A;EPCAM;NRTN;JARID2;HOXA7;TP63;SEMA6B;TGFB2;WNT10A;MYOCD;MEF2C;JAG1;SEMA4D;XRCC5;OSR1;SOX10;RUNX2;TBX2;SFRP1;KITLG;CDK6;PTPRC;TAL1;ALDH1A2;HAND2;MTF2;HOXB4,37,131,2.2844823093253463,16.1962296004502,3.230242009403816e-05,0.002728963600017675,0,stem cell differentiation,stem cell differentiation
GO:0071695,anatomical structure maturation,RET;C1QA;L3MBTL3;SEMA4D;NTN4;RFX3;ANO6;TFCP2L1;BRCA2;C1QL1;DAZL;BTC;CDH5;PHOSPHO1;TAL1;ALDH1A2;S1PR1;TRIP13;PABPC1L;FBXO5;B4GALT6;RECK;HOXA5,24,85,2.283755923853383,10.50900393922341,0.0009719109870738777,0.04691925688469887,0,anatomical structure maturation,anatomical structure maturation
GO:2001251,negative regulation of chromosome organization,TOP2A;PIF1;ZNF451;RTEL1;KDM4C;XRCC5;SRC;ATRX;BUB1B;TTK;BRCA1;TERF1;PAPD5;MTF2;DNMT3B;ATM;TRIP13;NBN;FBXO5;SPDL1;JARID2;BUB1;MAD1L1;ATG5,26,93,2.261245784818986,11.498086662915025,0.0005717457043356464,0.030119911534488137,0,negative regulation of chromosome organization,negative regulation of chromosome organization
GO:0009952,anterior/posterior pattern specification,HOXC13;RBPJ;PCSK5;HOXA10;LFNG;HOXA9;SOX17;HOXA3;HOXA7;HOXA6;HOXA5;HOXA4;CDON;EMX2;OSR1;COBL;SFRP1;HOXB9;HAND2;ALDH1A2;HOXB4;HOXB3;HOXB2;HOXB5;NOTCH1;PRKDC;TSHZ1;LEF1;PTN;BARX1;MLLT3;DLL1;RNF2;AURKA;EPB41L5;GBX2;T;LOC419390;HOXC5;OTX1;HOXC9;TGFB2;FOXF1;NR2F2;TDRD5;TBX3;HEYL;BHLHE40;ATM;HOXD9,51,184,2.241866379054442,22.748902644907144,1.6822612098470117e-06,0.00021188844602209407,0,pattern specification process,pattern specification process
GO:0003002,regionalization,TRAF3IP1;IFT172;HOXC13;RBPJ;GLI1;PCSK5;HOXA10;LFNG;HOXA9;SOX17;TBC1D32;HOXA3;HOXA7;HOXA6;TP63;HOXA5;HOXA4;CDON;DYNC2H1;EMX2;MEF2C;NKX6-2;OSR1;NOG;GNOT1;COBL;SFRP1;HOXB9;HAND2;ALDH1A2;MTF2;HOXB4;HOXB3;HOXB2;NBL1;HOXB5;C1QA;NOTCH1;PRKDC;TSHZ1;LEF1;PTN;BARX1;MLLT3;DLL1;RNF2;AURKA;DLL4;EPB41L5;GBX2;T;LOC419390;TBX20;HOXC5;OTX1;HOXC9;TGFB2;FOXF1;NOG2;NR2F2;TDRD5;TBX3;HEYL;MAFB;BHLHE40;ATM;HOXD9,68,282,1.9503707505721857,34.865166010129435,2.6416889033847255e-06,0.0003024842955073998,1,pattern specification process,pattern specification process
GO:0007389,pattern specification process,TRAF3IP1;IFT172;IHH;SIX1;HOXC13;RBPJ;GLI1;PCSK5;HOXA10;LFNG;HOXA9;SOX17;TBC1D32;HOXA3;SOSTDC1;RTTN;HOXA7;HOXA6;TP63;HOXA5;HOXA4;CDON;DYNC2H1;EMX2;MEF2C;NKX6-2;OSR1;FST;NOG;GNOT1;COBL;RFX3;SFRP1;HOXB9;ALDH1A2;MFNG;HAND2;MTF2;HOXB4;HOXB3;HOXB2;NBL1;CCDC40;HOXB5;C1QA;NOTCH1;PRKDC;TSHZ1;LEF1;PTN;BARX1;MLLT3;DLL1;RNF2;AURKA;DLL4;IFT74;WNT6;EPB41L5;GBX2;T;LOC419390;TBX20;HOXC5;OTX1;HOXC9;TGFB2;DYX1C1;FOXF1;NOG2;INHBB;GRHL3;NR2F2;TDRD5;TBX3;BMP5;TBX2;HEYL;MAFB;BHLHE40;ATM;HOXD9,85,345,1.9927701147150594,42.6541924592009,8.018378934575248e-08,1.683252123311213e-05,2,pattern specification process,pattern specification process
GO:0008406,gonad development,HMGB2;TCF21;ARID4B;BRCA2;CYP19A1;BMP15;HOXA10;LFNG;BRIP1;BCL2L11;SIX4;LEPR;SLIT3;SLIT2;PATZ1;AMH;WNT4;PDGFRA;TGFB2;TFAP2C;OSR1;FST;ATRX;NR0B1;FANCF;KIF18A;SFRP1;KITLG;ATM;COL9A3;TAF4;LHX8,33,124,2.152532045164227,15.330782217220035,0.0002621100604065338,0.01572093024646115,0,reproductive system development,reproductive system development
